model,text_mode,seed_weight,scenario,micro_cohesion,macro_cohesion,micro_margin,macro_margin,negative_margin_fraction,loo_micro_cohesion,loo_micro_margin,loo_negative_margin_fraction,min_family_size
bge-m3,bilingual,1.0,original_released,0.8047025712645222,0.848951424514239,0.05018215386061274,0.10376263850583352,0.11538461538461539,0.7560564020900479,0.0015359846861384386,0.47802197802197804,1
bge-m3,bilingual,1.0,revised_released,0.800220746786827,0.8439205115610967,0.049195647367467885,0.0997860733152834,0.11538461538461539,0.7497630726957835,-0.0012620267235754813,0.4835164835164835,1
bge-m3,bilingual,1.0,revised_proposed,0.8008132152955234,0.8453604333130583,0.050996003562855115,0.10263771284638369,0.08791208791208792,0.750766928461011,0.0009497167283425868,0.45054945054945056,1
bge-m3,bilingual,1.0,revised_em,0.8009139209865223,0.8443502844063726,0.050928352425867,0.10043837538710565,0.09340659340659341,0.7505992278014806,0.0006136592408251567,0.45054945054945056,1
bge-m3,bilingual,3.0,original_released,0.7899967501159716,0.7995945376657311,0.038492045797852974,0.05809771776831357,0.12087912087912088,0.752759523109986,0.0012548187918674568,0.489010989010989,1
bge-m3,bilingual,3.0,revised_released,0.7849339498266958,0.7931216758989516,0.03650907704795532,0.05292096737757429,0.12087912087912088,0.7462964695879607,-0.002128403190779752,0.4835164835164835,1
bge-m3,bilingual,3.0,revised_proposed,0.7855211437469838,0.7932908670266029,0.038366811751636795,0.054072450379836955,0.09340659340659341,0.7473315813521889,0.00017724935684185601,0.46703296703296704,1
bge-m3,bilingual,3.0,revised_em,0.785819455487853,0.7936555228186174,0.03855452520127513,0.05379620167255089,0.0989010989010989,0.7473916616149902,0.0001267313284119413,0.46703296703296704,1
bge-m3,bilingual,5.0,original_released,0.7778353890917897,0.7732700581732436,0.030630071868954195,0.03686515046682543,0.19230769230769232,0.7465537613086554,-0.0006515559141801055,0.489010989010989,1
bge-m3,bilingual,5.0,revised_released,0.7723922587370485,0.765812492249465,0.027717040989281017,0.029630952677529663,0.1978021978021978,0.7399866856017228,-0.004688532146044711,0.5054945054945055,1
bge-m3,bilingual,5.0,revised_proposed,0.7731214541903936,0.7656255465242628,0.02966888816772817,0.030176741424295512,0.18681318681318682,0.7411291803704757,-0.0023233856521897144,0.4835164835164835,1
bge-m3,bilingual,5.0,revised_em,0.7732973277837912,0.7662716942876321,0.029786965112444108,0.030578136446741098,0.18681318681318682,0.7410923166328083,-0.002418046038539066,0.4945054945054945,1
bge-m3,bilingual,10.0,original_released,0.7546581221044745,0.7388484652053243,0.01798972607415663,0.012346796532799936,0.32967032967032966,0.7313071284178948,-0.005361267612423057,0.5164835164835165,1
bge-m3,bilingual,10.0,revised_released,0.748876497052776,0.7302081253425904,0.013625866475409913,0.002145872003889309,0.3516483516483517,0.7248068204200606,-0.010443810157305432,0.5384615384615384,1
bge-m3,bilingual,10.0,revised_proposed,0.7499208374938545,0.7299202193188511,0.015667496856198084,0.002242486497060386,0.31868131868131866,0.7261626681294437,-0.008090672508212916,0.5164835164835165,1
bge-m3,bilingual,10.0,revised_em,0.7499094522637364,0.7305963640171124,0.015603063939196062,0.0030703403909162924,0.32967032967032966,0.7260125873605632,-0.008293800963977315,0.521978021978022,1
bge-m3,english,1.0,original_released,0.8108460927427003,0.8463692902244112,0.04745335582231044,0.09165590431674804,0.10989010989010989,0.7611118919999051,-0.002280844920484642,0.510989010989011,1
bge-m3,english,1.0,revised_released,0.8081615995207719,0.8434715206634881,0.04726907866498379,0.08805143233020352,0.11538461538461539,0.757318712388483,-0.0035738084673049898,0.521978021978022,1
bge-m3,english,1.0,revised_proposed,0.808795641433331,0.8455508849449928,0.04928842954042559,0.09122115755416982,0.0989010989010989,0.7585572204728253,-0.0009499914200801597,0.4945054945054945,1
bge-m3,english,1.0,revised_em,0.8088557680455909,0.8438677805081443,0.04903371420691924,0.08888906480274161,0.1043956043956044,0.7581428291932109,-0.0016792246454606866,0.521978021978022,1
bge-m3,english,3.0,original_released,0.7935895179534762,0.7891148852344633,0.034861148637968256,0.04034742586254799,0.12087912087912088,0.7553809359148158,-0.0033474334006919847,0.47802197802197804,1
bge-m3,english,3.0,revised_released,0.7902290727488865,0.78413470311615,0.03353281586117069,0.03446357538628555,0.14285714285714285,0.7510441024832263,-0.005652154404489244,0.5,1
bge-m3,english,3.0,revised_proposed,0.7908481099643482,0.7849865591078098,0.03531268054718,0.03621555262772418,0.14835164835164835,0.7521459022483308,-0.003389527168837269,0.47802197802197804,1
bge-m3,english,3.0,revised_em,0.7908986767417857,0.7844642729202832,0.03515821389837856,0.035278454059822495,0.14835164835164835,0.7518438335926302,-0.003896629250776914,0.4945054945054945,1
bge-m3,english,5.0,original_released,0.7793145690111906,0.7583718949806667,0.025319394367758735,0.01524594314136656,0.24725274725274726,0.7470985421405902,-0.0068966325028414245,0.46703296703296704,1
bge-m3,english,5.0,revised_released,0.7754877601137468,0.7521580922587859,0.023475425703927213,0.006941490760815676,0.23076923076923078,0.7424693222846089,-0.009543012125210373,0.5384615384615384,1
bge-m3,english,5.0,revised_proposed,0.7762474432862103,0.7525999840862916,0.025297037016012484,0.008401052065433698,0.23076923076923078,0.7436498430393206,-0.007300563230877409,0.510989010989011,1
bge-m3,english,5.0,revised_em,0.7761549381399298,0.7524247875739195,0.025058612779197416,0.007851852245481137,0.21978021978021978,0.743261206555893,-0.007835118804839109,0.5164835164835165,1
bge-m3,english,10.0,original_released,0.7523993393622093,0.718053830257143,0.00886774000332118,-0.014033034244591255,0.35714285714285715,0.7282474524207413,-0.01528414693814667,0.5604395604395604,1
bge-m3,english,10.0,revised_released,0.7479557710863274,0.7103995964624996,0.006116498562178347,-0.02562928162658687,0.38461538461538464,0.7232685290528846,-0.018570743471264646,0.5824175824175825,1
bge-m3,english,10.0,revised_proposed,0.7490599742561918,0.7106712251707007,0.007989062618746092,-0.024834215033665688,0.36813186813186816,0.7246837514986056,-0.01638716013884004,0.5714285714285714,1
bge-m3,english,10.0,revised_em,0.7488005084372432,0.7105068585295088,0.007688669819777495,-0.0250981141024627,0.36813186813186816,0.7242559375909852,-0.016855901026480456,0.5714285714285714,1
mxbai-embed-large,bilingual,1.0,original_released,0.8589592711689515,0.8900351440951887,0.03441735661656613,0.0691036765228694,0.16483516483516483,0.8241108910258955,-0.0004310235264899254,0.46153846153846156,1
mxbai-embed-large,bilingual,1.0,revised_released,0.8579302347362355,0.8882231684660461,0.03443248903813596,0.06776160492384907,0.16483516483516483,0.822492533507228,-0.0010052121908717508,0.46703296703296704,1
mxbai-embed-large,bilingual,1.0,revised_proposed,0.8584556052414226,0.888817193717081,0.03502582782097246,0.07028522147499507,0.14835164835164835,0.8231105681025306,-0.00031920931791947806,0.46153846153846156,1
mxbai-embed-large,bilingual,1.0,revised_em,0.858397442709338,0.8884330130708721,0.03496950553589073,0.068011807478166,0.15934065934065933,0.8230230200715474,-0.00040491710189985826,0.46703296703296704,1
mxbai-embed-large,bilingual,3.0,original_released,0.8472630740526633,0.8516099757894345,0.025957820180896648,0.034907287003098746,0.1978021978021978,0.8201575263954904,-0.0011477274762761351,0.47802197802197804,1
mxbai-embed-large,bilingual,3.0,revised_released,0.8461157959580276,0.850237334459004,0.025890133722792207,0.03395630652672792,0.2087912087912088,0.8185731912739663,-0.00165247096126901,0.489010989010989,1
mxbai-embed-large,bilingual,3.0,revised_proposed,0.8464482246513264,0.8486940143001872,0.026297077741717377,0.03413737198565797,0.19230769230769232,0.8190840198507572,-0.0010671270588516713,0.47802197802197804,1
mxbai-embed-large,bilingual,3.0,revised_em,0.8465658532203968,0.8503897388552725,0.02643821120458737,0.034115082902471526,0.2032967032967033,0.81909031461161,-0.0010373274041994547,0.4835164835164835,1
mxbai-embed-large,bilingual,5.0,original_released,0.83741961954405,0.8303472385972593,0.01994795026797128,0.01820590652539407,0.24725274725274726,0.8143823138827493,-0.003089355393329541,0.510989010989011,1
mxbai-embed-large,bilingual,5.0,revised_released,0.8361431956431421,0.8289492507057945,0.019803356436843063,0.016801200514824442,0.2857142857142857,0.8127654051251179,-0.0035744340811811703,0.5054945054945055,1
mxbai-embed-large,bilingual,5.0,revised_proposed,0.8364989417216221,0.8266537872112917,0.020218737518914162,0.016303799539031397,0.26373626373626374,0.8133221915761555,-0.0029580126265524994,0.4945054945054945,1
mxbai-embed-large,bilingual,5.0,revised_em,0.8366353831198357,0.8291118564494724,0.02043347547267654,0.017009725952442073,0.26373626373626374,0.8133636743668278,-0.002838233280331331,0.4945054945054945,1
mxbai-embed-large,bilingual,10.0,original_released,0.8184900615561835,0.8018183457969014,0.008879883534427016,-0.0023511248522030325,0.4175824175824176,0.8009888483013121,-0.008621329720444541,0.5604395604395604,1
mxbai-embed-large,bilingual,10.0,revised_released,0.8170306149765675,0.8002481577353238,0.00864533969605991,-0.004353917136962566,0.4010989010989011,0.7993130001045733,-0.009072275175934235,0.5384615384615384,1
mxbai-embed-large,bilingual,10.0,revised_proposed,0.8175342782595714,0.797426244161943,0.00926216221910279,-0.0054517957654184835,0.38461538461538464,0.7999993675372175,-0.008272748503251156,0.554945054945055,1
mxbai-embed-large,bilingual,10.0,revised_em,0.8175661865472347,0.8003320804604138,0.009426609239182605,-0.0042803024385530625,0.38461538461538464,0.7999486883017689,-0.008190889006283019,0.5494505494505495,1
