model,text_mode,seed_weight,card_id,current_l3,target_l3,current_similarity,target_similarity,target_minus_current,bootstrap_target_preference
bge-m3,english,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.4424189398899525,0.6390537935819891,0.1966348536920366,1.0
mxbai-embed-large,bilingual,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7915565439313677,0.8145832237274391,0.023026679796071425,0.98
mxbai-embed-large,bilingual,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.8203053600042292,0.872666041952824,0.05236068194859489,0.993
mxbai-embed-large,bilingual,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7693379858548112,0.8025299423057826,0.033191956450971394,0.964
mxbai-embed-large,bilingual,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7463656633611746,0.6570134261848651,-0.08935223717630947,0.0
mxbai-embed-large,bilingual,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6834909430109982,0.8227471302191884,0.13925618720819022,1.0
mxbai-embed-large,bilingual,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.789602596691882,0.8138116670786754,0.02420907038679332,0.989
mxbai-embed-large,bilingual,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.8077460110426711,0.8569582515769711,0.04921224053430007,0.984
mxbai-embed-large,bilingual,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7733756580685889,0.8021535352846212,0.02877787721603231,0.961
mxbai-embed-large,bilingual,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7492090635672607,0.6399490297736428,-0.10926003379361793,0.0
mxbai-embed-large,bilingual,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6834909430109981,0.819929235226613,0.13643829221561488,1.0
mxbai-embed-large,bilingual,5.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7855293882171153,0.81267350947621,0.02714412125909471,0.991
mxbai-embed-large,bilingual,5.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7936060586285278,0.8399141498989371,0.046308091270409246,0.993
mxbai-embed-large,bilingual,5.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7712421225564517,0.7971816189033126,0.02593949634686088,0.971
mxbai-embed-large,bilingual,5.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7428516994154322,0.6283573866110641,-0.11449431280436806,0.0
mxbai-embed-large,bilingual,5.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6834909430109981,0.8129820228906025,0.1294910798796044,1.0
mxbai-embed-large,bilingual,10.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7739523833410451,0.8087996669149413,0.034847283573896215,1.0
mxbai-embed-large,bilingual,10.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7630100668328271,0.8018248756135017,0.03881480878067456,0.989
mxbai-embed-large,bilingual,10.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7592768923489339,0.7797974439098384,0.020520551560904488,0.98
mxbai-embed-large,bilingual,10.0,PHYSRISK-REF-0037,P3.3,S3.9,0.732117489907439,0.6158133519860218,-0.11630413792141714,0.0
mxbai-embed-large,bilingual,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6834909430109981,0.7921099310952646,0.10861898808426651,1.0
